objectid,year,district,dc_number,date_,primary_st,secondary_,age,sex,crash_type,hit_____ru,veh1,veh2,arrest_yes,investigat,dc_key,point_x,point_y,time_of_day__24hrs_,lat,lng
47914,2019,03,000288,2019-01-02 05:00:00+00,Packer Ave.,600 Block,36,M,"Unit #1, high speed W/B on Packer Ave. crossed into E/B striking #2. 3 Passengers of #2 pronounced dead. Operator of Unit #1 arrested.",No,Auto,Auto,Yes,"Operator of veh #1 arrested. Charges Murder, Homicide by Vehicle, Aggravated Assault, REAP, PIC,",201903000288,-75.15915172,39.90859795,,39.90859795124315,-75.15915172397082
47915,2019,03,000288,2019-01-02 05:00:00+00,Packer Ave.,600 Block,35,F,"Unit #1, high speed W/B on Packer Ave. crossed into E/B striking #2. 3 Passengers of #2 pronounced dead. Operator of Unit #1 arrested.",No,Auto,Auto,Yes,"Operator of veh #1 arrested. Charges Murder, Homicide by Vehicle, Aggravated Assault, REAP, PIC,",201903000288,-75.15915172,39.90859795,,39.90859795124315,-75.15915172397082
47916,2019,03,000288,2019-01-02 05:00:00+00,Packer Ave.,600 Block,30,M,"Unit #1, high speed W/B on Packer Ave. crossed into E/B striking #2. 3 Passengers of #2 pronounced dead. Operator of Unit #1 arrested.",No,Auto,Auto,Yes,"Operator of veh #1 arrested. Charges Murder, Homicide by Vehicle, Aggravated Assault, REAP, PIC,",201903000288,-75.15915172,39.90859795,,39.90859795124315,-75.15915172397082
47917,2019,35,000736,2019-01-03 05:00:00+00,5th St.,4800 Block N.,40,M,"Unit #1 high speed, hit 3 other vehicles. Oper. Of #1 pronounced dead at Hosp.",No,Auto,Auto,No,No Charges,201935000736,-75.13323032,40.02442253,,40.02442252719932,-75.13323031627607
47918,2019,25,001964,2019-01-07 05:00:00+00,Macalester St,4200 Block,39,M,"Unit #1 high speed, lost control, slid sideways and struck telephone pole. Driver pronounced dead. Passengers injured.",No,Auto,Fixed Object,No,No Charges,201925001964,-75.11851262,40.01542013,,40.015420133044586,-75.11851262404181
47919,2019,15,003979,2019-01-14 05:00:00+00,New State Rd.,Unruh St.,66,F,"Decedant was front seat passenger Of unit #1. Oper was DUI, crossed into oncoming lane, sideswiped unit #2 then into a pole on passenger side.",No,Auto,Auto,Yes,"Arrest of driver of veh #1. Charges: Homicide by vehicle, Homicide by vehicle w/DUI, DUI, Involuntary manslaughter,",201915003979,-75.04294437,40.02010158,,40.020101578566766,-75.04294437072616
47920,2019,08,002049,2019-01-16 05:00:00+00,Frankford Ave.,8000 Block,25,M,"Unit #1, (Deceased), operating a Motorcycle N/B on Frankford when Unit #2 made a U-turn into his path.",No,M/C,Auto,No,Oper. Of Unit #2 Cited: Fail to yield.,201908002049,-75.02675127,40.04198855,,40.041988552100456,-75.02675126575939
47921,2019,25,005066,2019-01-18 05:00:00+00,Westmoreland St.,"""F"" St.",33,F,"Pedestrian was brushed by passing vehicle knocked to ground. Vehicle kept going, pedestrian went home. Pedetrian had a medical emergency later that night, pronounced dead at Hospital.",Yes,Auto,Pedestrian,,Pending,201925005066,-75.11696485,39.99818067,,39.99818066994161,-75.11696484913261
47922,2019,12,004855,2019-01-19 05:00:00+00,Woodland Ave,Yewdall St.,54,F,Pedestrian was attempting to cross Woodland Ave when struck by passing unknown vehicle that did not stop. Pedestrian pronounced dead at Hospital,Yes,Auto,Pedestrian,,Pending,201912004855,-75.21920358,39.93618127,,39.936181267705166,-75.21920357924591
47923,2019,15,007575,2019-01-26 05:00:00+00,Saul St.,5300 Block,30,M,"Deceased, a pedestrian was struck in the street by an unknown vehicle that fled the scene.",Yes,Auto,Pedestrian,,Pending,201915007575,-75.07959114,40.02614025,,40.02614024936433,-75.07959114464656
47924,2019,39,007956,2019-01-27 05:00:00+00,Henry Ave.,3900 Block,27,M,"Single vehicle crash, high speed, winding road, lost control, struck telephone pole. Driver pronounced dead.",No,Auto,Fixed Object,No,No Charges,201939007956,-75.19033299,40.01904819,,40.01904818737367,-75.190332985771
47925,2019,15,009927,2019-02-03 05:00:00+00,Roosevelt Blvd.,Bustleton Ave,35,F,"Single vehicle crash. Unit #1 operator S/B on Roosevelt Blvd attempted a left turn too fast, left roadway, struck pole. The front seat passenger was pronounced dead.",No,Auto,Fixed Object,,Pending,201915009927,,,,,
47926,2019,35,024955,2019-03-22 04:00:00+00,Tabor Rd.,Mascher St,12,M,"Deceased found on train tracks, was struck by unk train.",No,Train,Pedestrian,No,No Charges,201935024955,-75.12417367,40.03254291,,40.032542905638046,-75.1241736690787
47927,2019,06,013286,2019-03-23 04:00:00+00,"Spruce St,",5th St.,34,M,"Deceased operating on illegal ditrbike at high speed, struck auto making a turn",No,Dirtbike,Auto,No,No Charges,201906013286,-75.15003912,39.94515371,,39.9451537066909,-75.1500391186156
47928,2019,03,022749,2019-04-06 04:00:00+00,Pattison Ave,600 Block,23,M,"Single vehicle crash at high speed, left the roadway, struck a tree.",No,Auto,Fixed Object,No,No Charges,201903022749,-75.16037403,39.90369856,,39.90369855910653,-75.1603740327077
