,crash_id,year,police_district,crash_date,day_name,primary_street,age,victim_gender,collision_type,hit_and_run,primary_vehicle,secondary_vehicle,arrest_made,investigation_status,time,latitude,longitude,age_group
0,47914,2019,3,2019-01-02,Wednesday,Packer Ave.,36.0,M,"Unit #1, high speed W/B on Packer Ave. crossed into E/B striking #2. 3 Passengers of #2 pronounced dead. Operator of Unit #1 arrested.",0.0,Auto,Auto,Yes,"Operator of veh #1 arrested. Charges Murder, Homicide by Vehicle, Aggravated Assault, REAP, PIC,",,39.90859795124315,-75.15915172397082,36-45
1,47915,2019,3,2019-01-02,Wednesday,Packer Ave.,35.0,F,"Unit #1, high speed W/B on Packer Ave. crossed into E/B striking #2. 3 Passengers of #2 pronounced dead. Operator of Unit #1 arrested.",0.0,Auto,Auto,Yes,"Operator of veh #1 arrested. Charges Murder, Homicide by Vehicle, Aggravated Assault, REAP, PIC,",,39.90859795124315,-75.15915172397082,26-35
2,47916,2019,3,2019-01-02,Wednesday,Packer Ave.,30.0,M,"Unit #1, high speed W/B on Packer Ave. crossed into E/B striking #2. 3 Passengers of #2 pronounced dead. Operator of Unit #1 arrested.",0.0,Auto,Auto,Yes,"Operator of veh #1 arrested. Charges Murder, Homicide by Vehicle, Aggravated Assault, REAP, PIC,",,39.90859795124315,-75.15915172397082,26-35
3,47917,2019,35,2019-01-03,Thursday,5th St.,40.0,M,"Unit #1 high speed, hit 3 other vehicles. Oper. Of #1 pronounced dead at Hosp.",0.0,Auto,Auto,No,No Charges,,40.02442252719932,-75.13323031627607,36-45
4,47918,2019,25,2019-01-07,Monday,Macalester St,39.0,M,"Unit #1 high speed, lost control, slid sideways and struck telephone pole. Driver pronounced dead. Passengers injured.",0.0,Auto,Fixed Object,No,No Charges,,40.015420133044586,-75.11851262404181,36-45
5,47919,2019,15,2019-01-14,Monday,New State Rd.,66.0,F,"Decedant was front seat passenger Of unit #1. Oper was DUI, crossed into oncoming lane, sideswiped unit #2 then into a pole on passenger side.",0.0,Auto,Auto,Yes,"Arrest of driver of veh #1. Charges: Homicide by vehicle, Homicide by vehicle w/DUI, DUI, Involuntary manslaughter,",,40.020101578566766,-75.04294437072616,66-75
6,47920,2019,8,2019-01-16,Wednesday,Frankford Ave.,25.0,M,"Unit #1, (Deceased), operating a Motorcycle N/B on Frankford when Unit #2 made a U-turn into his path.",0.0,Motorcycle,Auto,No,Oper. Of Unit #2 Cited: Fail to yield.,,40.041988552100456,-75.02675126575939,19-25
7,47921,2019,25,2019-01-18,Friday,Westmoreland St.,33.0,F,"Pedestrian was brushed by passing vehicle knocked to ground. Vehicle kept going, pedestrian went home. Pedetrian had a medical emergency later that night, pronounced dead at Hospital.",1.0,Auto,Pedestrian,,Pending,,39.99818066994161,-75.11696484913261,26-35
8,47922,2019,12,2019-01-19,Saturday,Woodland Ave,54.0,F,Pedestrian was attempting to cross Woodland Ave when struck by passing unknown vehicle that did not stop. Pedestrian pronounced dead at Hospital,1.0,Auto,Pedestrian,,Pending,,39.936181267705166,-75.21920357924591,46-55
9,47923,2019,15,2019-01-26,Saturday,Saul St.,30.0,M,"Deceased, a pedestrian was struck in the street by an unknown vehicle that fled the scene.",1.0,Auto,Pedestrian,,Pending,,40.02614024936433,-75.07959114464656,26-35
10,47924,2019,39,2019-01-27,Sunday,Henry Ave.,27.0,M,"Single vehicle crash, high speed, winding road, lost control, struck telephone pole. Driver pronounced dead.",0.0,Auto,Fixed Object,No,No Charges,,40.01904818737367,-75.190332985771,26-35
11,47925,2019,15,2019-02-03,Sunday,Roosevelt Blvd.,35.0,F,"Single vehicle crash. Unit #1 operator S/B on Roosevelt Blvd attempted a left turn too fast, left roadway, struck pole. The front seat passenger was pronounced dead.",0.0,Auto,Fixed Object,,Pending,,,,26-35
12,47926,2019,35,2019-03-22,Friday,Tabor Rd.,12.0,M,"Deceased found on train tracks, was struck by unk train.",0.0,Train,Pedestrian,No,No Charges,,40.032542905638046,-75.1241736690787,0-18
13,47927,2019,6,2019-03-23,Saturday,"Spruce St,",34.0,M,"Deceased operating on illegal ditrbike at high speed, struck auto making a turn",0.0,Motorcycle,Auto,No,No Charges,,39.9451537066909,-75.1500391186156,26-35
14,47928,2019,3,2019-04-06,Saturday,Pattison Ave,23.0,M,"Single vehicle crash at high speed, left the roadway, struck a tree.",0.0,Auto,Fixed Object,No,No Charges,,39.90369855910653,-75.1603740327077,19-25
15,47929,2019,25,2019-02-10,Sunday,Allegheny Ave.,30.0,M,"Deceased, pedestrian was laying in the running lane mid block when struck by unit #1.",0.0,Auto,Pedestrian,No,No Charges,,39.99937655210356,-75.13569739497983,26-35
16,47930,2019,7,2019-02-11,Monday,Bustleton Ave.,66.0,F,Driver of Unit #1 N/B on Bustleton Ave crossed yellow lines into S/B traffic striking Unit #2. Operator of Unit #2 pronounced dead.,0.0,Auto,Auto,Yes,"Operator of veh #1 arrested. Charges: Homicide by vehicle, Homicide by vehicle w/DUI, DUI, Involuntary Manslaughter, PIC, REAP, False reports.",,40.09463549503681,-75.03074482097696,66-75
17,47931,2019,8,2019-02-12,Tuesday,Frankford Ave.,83.0,M,Pedestrian was walking in street when struck by unti #1 who did not see him. Pedestrian pronounced dead at Hospital.,0.0,Auto,Pedestrian,,Pending,,40.05330017088454,-75.00682803025259,75+
18,47932,2019,25,2019-03-22,Friday,Lehigh Ave.,61.0,M,Deceased Pedestrian attempting to cross Lehigh when he was struck by vehicle that did not stop.,0.0,Auto,Pedestrian,,Pending,,39.99126893079407,-75.1338062490446,56-65
19,47933,2019,17,2019-03-23,Saturday,Lombard St.,65.0,F,"Pedestrian was standing behind unit #1 that started to reverse to leave a parking spot, striking her. Pedestrian pronounced dead at Hospital.",0.0,Auto,Pedestrian,No,No Charges,,39.94609958825132,-75.17692711587783,56-65
20,47934,2019,16,2019-03-29,Friday,Belmont Ave.,94.0,M,Unit #2 attempted a left turn into the path of unit #1. The front seat passenger of unit #2 was pronounced dead.,0.0,Auto,Auto,,Pending,,39.98031200532062,-75.21416135656625,75+
21,47935,2019,35,2019-04-07,Sunday,Rising Sun Ave.,25.0,M,Operator of a motorcycle was N/B on Rising Sun when auto entered roadway from side street into the path of the motorcycle causing ejection and fatal injuries.,0.0,Motorcycle,Auto,,Pending,,40.0600352327969,-75.14022488817245,19-25
22,47936,2019,12,2019-04-07,Sunday,Passyunk Ave.,54.0,M,"Operator of vehicle #1, (auto), crossed into oncoming traffic and struck a motorcycle head-on, motorcycle operator pronounced at scene.",0.0,Auto,M/C,Yes,"Arrest of driver of veh #1. Charges: Homicide by vehicle, Homicide by vehicle w/DUI, DUI, Involuntary manslaughter,",,39.91701415496276,-75.21549324285478,46-55
23,47937,2019,2,2019-04-09,Tuesday,Castor Ave.,90.0,F,"Pedestrian was attempting to cross Castor Ave, in the crosswalk when struck by a Police Vehicle attempting a left turn. Pedestrian pronounced dead at Hospital.",0.0,Auto,Pedestrian,No,No Charges,,40.041800373790565,-75.0752840615863,75+
24,47938,2019,24,2019-04-12,Friday,Allegheny Ave.,32.0,M,Deceased was operating an Illegal Dirt bike at high speed when the operator of Unit #2 made an illegal u-turn into the path of the motorcycle causing ejection and fatal injuries.,0.0,Motorcycle,Auto,No,No Charges,,39.9947406960261,-75.11171045835245,26-35
