,crash_id,year,police_district,crash_date,day_name,primary_street,age,victim_gender,collision_type,hit_and_run,primary_vehicle,secondary_vehicle,arrest_made,investigation_status,time,latitude,longitude,age_group
0,49508,2019,3,2019-01-02,Wednesday,Packer Ave.,30.0,M,"Unit #1, high speed W/B on Packer Ave. crossed into E/B striking #2. 3 Passengers of #2 pronounced dead. Operator of Unit #1 arrested.",False,Auto,Auto,Yes,"Operator of veh #1 arrested. Charges Murder, Homicide by Vehicle, Aggravated Assault, REAP, PIC,",,39.90859795124315,-75.15915172397082,26-35
1,49509,2019,35,2019-01-03,Thursday,5th St.,40.0,M,"Unit #1 high speed, hit 3 other vehicles. Oper. Of #1 pronounced dead at Hosp.",False,Auto,Auto,No,No Charges,,40.02442252719932,-75.13323031627607,36-45
2,49510,2019,25,2019-01-07,Monday,Macalester St,39.0,M,"Unit #1 high speed, lost control, slid sideways and struck telephone pole. Driver pronounced dead. Passengers injured.",False,Auto,Fixed Object,No,No Charges,,40.015420133044586,-75.11851262404181,36-45
3,49534,2019,35,2019-06-22,Saturday,Windrum Ave.,47.0,M,"Single vehicle crash, oper. Lost control, struck fence.",False,Auto,Fixed Object,No,No Charges,,40.027522084717006,-75.15058988327453,46-55
4,49535,2019,15,2019-04-24,Wednesday,Roosevelt Blvd.,53.0,M,Pedestrian attempting to cross Roosevelt Blvd in mid block when struck by passing vehicle. Pedestrian pronounced at hospital.,False,Auto,Pedestrian,,Pending,,40.02695874157322,-75.0973211382643,46-55
5,49506,2019,3,2019-01-02,Wednesday,Packer Ave.,36.0,M,"Unit #1, high speed W/B on Packer Ave. crossed into E/B striking #2. 3 Passengers of #2 pronounced dead. Operator of Unit #1 arrested.",False,Auto,Auto,Yes,"Operator of veh #1 arrested. Charges Murder, Homicide by Vehicle, Aggravated Assault, REAP, PIC,",,39.90859795124315,-75.15915172397082,36-45
6,49507,2019,3,2019-01-02,Wednesday,Packer Ave.,35.0,F,"Unit #1, high speed W/B on Packer Ave. crossed into E/B striking #2. 3 Passengers of #2 pronounced dead. Operator of Unit #1 arrested.",False,Auto,Auto,Yes,"Operator of veh #1 arrested. Charges Murder, Homicide by Vehicle, Aggravated Assault, REAP, PIC,",,39.90859795124315,-75.15915172397082,26-35
7,49536,2019,25,2019-04-26,Friday,Hunting Park Ave.,19.0,M,"Single vehicle crash. Vehicle E/B on Hunting Park Ave at high speed, lost control, left roadway and struck pole. Driver pronounced dead at scene.",False,Auto,Fixed Object,No,No Charges,,40.01337223206191,-75.12280421053848,19-25
8,49511,2019,15,2019-01-14,Monday,New State Rd.,66.0,F,"Decedant was front seat passenger Of unit #1. Oper was DUI, crossed into oncoming lane, sideswiped unit #2 then into a pole on passenger side.",False,Auto,Auto,Yes,"Arrest of driver of veh #1. Charges: Homicide by vehicle, Homicide by vehicle w/DUI, DUI, Involuntary manslaughter,",,40.020101578566766,-75.04294437072616,66-75
9,49512,2019,8,2019-01-16,Wednesday,Frankford Ave.,25.0,M,"Unit #1, (Deceased), operating a Motorcycle N/B on Frankford when Unit #2 made a U-turn into his path.",False,Motorcycle,Auto,No,Oper. Of Unit #2 Cited: Fail to yield.,,40.041988552100456,-75.02675126575939,19-25
10,49513,2019,25,2019-01-18,Friday,Westmoreland St.,33.0,F,"Pedestrian was brushed by passing vehicle knocked to ground. Vehicle kept going, pedestrian went home. Pedetrian had a medical emergency later that night, pronounced dead at Hospital.",True,Auto,Pedestrian,,Pending,,39.99818066994161,-75.11696484913261,26-35
11,49514,2019,12,2019-01-19,Saturday,Woodland Ave,54.0,F,Pedestrian was attempting to cross Woodland Ave when struck by passing unknown vehicle that did not stop. Pedestrian pronounced dead at Hospital,True,Auto,Pedestrian,,Pending,,39.936181267705166,-75.21920357924591,46-55
12,49515,2019,15,2019-01-26,Saturday,Saul St.,30.0,M,"Deceased, a pedestrian was struck in the street by an unknown vehicle that fled the scene.",True,Auto,Pedestrian,,Pending,,40.02614024936433,-75.07959114464656,26-35
13,49516,2019,39,2019-01-27,Sunday,Henry Ave.,27.0,M,"Single vehicle crash, high speed, winding road, lost control, struck telephone pole. Driver pronounced dead.",False,Auto,Fixed Object,No,No Charges,,40.01904818737367,-75.190332985771,26-35
14,49517,2019,15,2019-02-03,Sunday,Roosevelt Blvd.,35.0,F,"Single vehicle crash. Unit #1 operator S/B on Roosevelt Blvd attempted a left turn too fast, left roadway, struck pole. The front seat passenger was pronounced dead.",False,Auto,Fixed Object,,Pending,,,,26-35
15,49518,2019,35,2019-03-22,Friday,Tabor Rd.,12.0,M,"Deceased found on train tracks, was struck by unk train.",False,Train,Pedestrian,No,No Charges,,40.032542905638046,-75.1241736690787,0-18
16,49519,2019,6,2019-03-23,Saturday,"Spruce St,",34.0,M,"Deceased operating on illegal ditrbike at high speed, struck auto making a turn",False,Motorcycle,Auto,No,No Charges,,39.9451537066909,-75.1500391186156,26-35
17,49520,2019,3,2019-04-06,Saturday,Pattison Ave,23.0,M,"Single vehicle crash at high speed, left the roadway, struck a tree.",False,Auto,Fixed Object,No,No Charges,,39.90369855910653,-75.1603740327077,19-25
18,49521,2019,25,2019-02-10,Sunday,Allegheny Ave.,30.0,M,"Deceased, pedestrian was laying in the running lane mid block when struck by unit #1.",False,Auto,Pedestrian,No,No Charges,,39.99937655210356,-75.13569739497983,26-35
19,49522,2019,7,2019-02-11,Monday,Bustleton Ave.,66.0,F,Driver of Unit #1 N/B on Bustleton Ave crossed yellow lines into S/B traffic striking Unit #2. Operator of Unit #2 pronounced dead.,False,Auto,Auto,Yes,"Operator of veh #1 arrested. Charges: Homicide by vehicle, Homicide by vehicle w/DUI, DUI, Involuntary Manslaughter, PIC, REAP, False reports.",,40.09463549503681,-75.03074482097696,66-75
20,49523,2019,8,2019-02-12,Tuesday,Frankford Ave.,83.0,M,Pedestrian was walking in street when struck by unti #1 who did not see him. Pedestrian pronounced dead at Hospital.,False,Auto,Pedestrian,,Pending,,40.05330017088454,-75.00682803025259,75+
21,49524,2019,25,2019-03-22,Friday,Lehigh Ave.,61.0,M,Deceased Pedestrian attempting to cross Lehigh when he was struck by vehicle that did not stop.,False,Auto,Pedestrian,,Pending,,39.99126893079407,-75.1338062490446,56-65
22,49525,2019,17,2019-03-23,Saturday,Lombard St.,65.0,F,"Pedestrian was standing behind unit #1 that started to reverse to leave a parking spot, striking her. Pedestrian pronounced dead at Hospital.",False,Auto,Pedestrian,No,No Charges,,39.94609958825132,-75.17692711587783,56-65
23,49526,2019,16,2019-03-29,Friday,Belmont Ave.,94.0,M,Unit #2 attempted a left turn into the path of unit #1. The front seat passenger of unit #2 was pronounced dead.,False,Auto,Auto,,Pending,,39.98031200532062,-75.21416135656625,75+
24,49527,2019,35,2019-04-07,Sunday,Rising Sun Ave.,25.0,M,Operator of a motorcycle was N/B on Rising Sun when auto entered roadway from side street into the path of the motorcycle causing ejection and fatal injuries.,False,Motorcycle,Auto,,Pending,,40.0600352327969,-75.14022488817245,19-25
25,49528,2019,12,2019-04-07,Sunday,Passyunk Ave.,54.0,M,"Operator of vehicle #1, (auto), crossed into oncoming traffic and struck a motorcycle head-on, motorcycle operator pronounced at scene.",False,Auto,Motorcycle,Yes,"Arrest of driver of veh #1. Charges: Homicide by vehicle, Homicide by vehicle w/DUI, DUI, Involuntary manslaughter,",,39.91701415496276,-75.21549324285478,46-55
26,49529,2019,2,2019-04-09,Tuesday,Castor Ave.,90.0,F,"Pedestrian was attempting to cross Castor Ave, in the crosswalk when struck by a Police Vehicle attempting a left turn. Pedestrian pronounced dead at Hospital.",False,Auto,Pedestrian,No,No Charges,,40.041800373790565,-75.0752840615863,75+
27,49530,2019,24,2019-04-12,Friday,Allegheny Ave.,32.0,M,Deceased was operating an Illegal Dirt bike at high speed when the operator of Unit #2 made an illegal u-turn into the path of the motorcycle causing ejection and fatal injuries.,False,Motorcycle,Auto,No,No Charges,,39.9947406960261,-75.11171045835245,26-35
28,49531,2019,7,2019-04-20,Saturday,Bustleton Ave.,50.0,M,Unit #1 high speed S/B on Bustleton struck unit #2 causing fatal injuries to operator and passenger of unit #2. Operator of unit #1 removed from scene prior to police arrival.,True,Auto,Auto,Yes,"Operator of veh #1 arrested. Charges: Homicide by vehicle, Involuntary Manslaughter, Aggravated Assault by vehicle, REAP",,40.10255234884344,-75.02888632864943,46-55
29,49532,2019,7,2019-04-20,Saturday,Bustleton Ave.,48.0,F,Unit #1 high speed S/B on Bustleton struck unit #2 causing fatal injuries to operator and passenger of unit #2. Operator of unit #1 removed from scene prior to police arrival.,True,Auto,Auto,Yes,"Operator of veh #1 arrested. Charges: Homicide by vehicle, Involuntary Manslaughter, Aggravated Assault by vehicle, REAP",,40.10255234884344,-75.02888632864943,46-55
30,49533,2019,6,2019-06-22,Saturday,Race St.,21.0,M,Victim struck by train near platform of station. Pronounced dead at scene.,False,Train,Pedestrian,No,No Charges,,39.95354203416402,-75.1400707390256,19-25
31,49537,2019,7,2019-04-27,Saturday,Bustleton Ave.,23.0,M,"Single vehicle crash. Vehicle at high speed on Bustleton Ave, lost control, left roadway and struck pole. Driver pronounced at scene.",False,Auto,Fixed Object,No,No Charges,,40.0981553769584,-75.03074758503575,19-25
32,49538,2019,16,2019-04-28,Sunday,Aspen St,36.0,F,Victim was attempting to exit vehicle while operator accelerated the vehicle in reverse to escape gunfire striking parked vehicles. Operator then fled on foot. Passenger Pronounced dead at Hospital.,True,Auto,Auto,,,,39.96484251330274,-75.22014553206189,36-45
33,49539,2019,35,2019-05-02,Thursday,Nedro Ave.,90.0,F,Victim struck by train near platform of station. Pronounced dead at scene.,False,Train,Pedestrian,No,No Charges,,40.04206515982538,-75.1373626335501,75+
34,49540,2019,15,2019-05-08,Wednesday,Tacony St,15.0,M,"Male operating an unregistered motorcycle at high speed, entered street striking Tractor Trailer and ejected. Pronounced dead at scene",False,Off-road,Truck,No,No Charges,,40.00962160736452,-75.06420021153019,0-18
35,49541,2019,39,2019-05-14,Tuesday,Clarissa St.,42.0,M,"Male operating a Motorcycle high speed, struck parked vehicle while attempting a dangerous pass. Pronounced dead at hospital",False,Motorcycle,Auto,No,No Charges,,40.01462750812229,-75.15665571079174,36-45
36,49542,2019,26,2019-05-21,Tuesday,Letterly St.,46.0,M,Pedestrian was laying in roadway when struck by turning vehicle. Pedestrian pronounced dead at hospital,False,Auto,Pedestrian,No,No Charges,,39.98719953068945,-75.13020423751476,46-55
37,49543,2019,35,2019-05-25,Saturday,Roosevelt Blvd.,19.0,M,"Victim was passenger in vehicle operating at high speed. (racing), lost control, struck tree. Pronounced dead at scene.",False,Auto,Fixed Object,No,No Charges,,40.02752111881139,-75.11285303044335,19-25
38,49544,2019,26,2019-05-28,Tuesday,Master St.,63.0,F,"Victim was standing on sidewalk when driver of vehicle attempted to flee police, drove on sidewalk and struck pedestrian. Victim pronounced dead at Hospital.",False,Auto,Pedestrian,Yes,"Arrest of driver of veh #1. Charges: Homicide by vehicle, Involuntary manslaughter, REAP",,39.97304287784093,-75.14785351073604,56-65
39,49545,2019,24,2019-05-31,Friday,Frankford Ave.,58.0,F,Victim attempt to cross Frankford Ave in mid block when struck by passing vehicle. Vehicle possibly speeding. Pedestrian pronounced at hospital,False,Auto,Pedestrian,No,No Charges,,40.00371822156026,-75.09439374010219,56-65
40,49546,2019,2,2019-06-01,Saturday,Roosevelt Blvd.,19.0,M,"Vehicle speeding, lost control and left roadway, struck wall, driver and passenger pronounced dead at scene.",False,Auto,Fixed Object,No,No Charges,,40.03410604711994,-75.07593860114989,19-25
41,49547,2019,2,2019-06-01,Saturday,Roosevelt Blvd.,17.0,M,"Vehicle speeding, lost control and left roadway, struck wall, driver and passenger pronounced dead at scene.",False,Auto,Fixed Object,No,No Charges,,40.03410604711994,-75.07593860114989,0-18
42,49548,2019,24,2019-06-18,Tuesday,Frankford Ave.,24.0,M,Auto made left into path of M/C. Speed of M/C in question.,False,Motorcycle,Auto,,Pending,,39.99308988921919,-75.11007782647428,19-25
43,49549,2019,7,2019-06-20,Thursday,Bustleton Ave.,31.0,F,"Single vehicle lost control, left roadway, struck pole",False,Auto,Fixed Object,No,No Charges,,40.129145851956025,-75.01377515547033,26-35
44,49550,2019,1,2019-06-20,Thursday,Passyunk Ave.,75.0,M,Victim was crossing Ave. when struck by vehicle leaving parking spot,False,Auto,Pedestrian,No,Pending,,39.92441252969426,-75.17568862309362,66-75
45,49551,2019,25,2019-06-11,Tuesday,Roosevelt Blvd.,22.0,M,"Single vehicle crash, speeding, lost control, struck a tree. Diver pronounced dead at scene.",False,Auto,Fixed Object,No,No Charges,,40.02377128798371,-75.13211094947867,19-25
46,49552,2019,2,2019-06-26,Wednesday,Roosevelt Blvd.,74.0,F,"Victim walking in roadway, struck by passing vehicle that kept going.",True,Others,Pedestrian,,Pending,,40.04465443030594,-75.05464970020508,66-75
47,49553,2019,9,2019-06-28,Friday,Sprin Garden St.,20.0,M,"Single veh. Crash. High speed, lost control, struck concrete medians",False,Motorcycle,Fixed Object,No,No Charges,,39.96447713083767,-75.1818892784737,19-25
48,49554,2019,25,2019-07-05,Friday,Allegheny Ave.,44.0,M,"Bicyclist S/B on 3rd St. at high speed entered roadway against red light, was struck by Unit #1 W/B on Allegheny Ave.",False,Auto,Bicycle,No,No Charges,,39.99938491831072,-75.13565400284857,36-45
49,49555,2019,25,2019-07-08,Monday,Broad st.,54.0,M,"Victim is Septa employee working, fell onto tracks and struck by train",False,Train,Pedestrian,No,No Charges,,40.00995982164197,-75.15053544885716,46-55
50,49556,2019,39,2019-07-11,Thursday,Fox St.,33.0,M,Unit #2 made left into path of m/c ejecting operator. Unit #2 fled scene post crash.,True,Motorcycle,Auto,,Pending,,40.01969366867097,-75.18436070091757,26-35
51,49557,2019,15,2019-07-15,Monday,Paul St.,66.0,M,Unit #1 inexplicably struck numerous vehicles. Delayed fatality.,False,Auto,Parked Vehicle,No,Medical.,,40.01196811427254,-75.08616402818828,66-75
52,49558,2019,25,2019-07-19,Friday,Hunting Park Ave.,41.0,F,Victim in unit #1 struck vehicle in front of her at high speed.,False,Auto,Auto,No,No charges,,40.01301371635205,-75.11938543834754,36-45
53,49559,2019,19,2019-07-25,Thursday,63rd St.,50.0,M,Unit #2 attempted left turn into path of oncoming M/C.,False,Motorcycle,Auto,No,Traffic Violation Issued to Unit #2,,39.96431491641784,-75.2469629016438,46-55
54,49560,2019,2,2019-07-26,Friday,Roosevelt Blvd.Near Large St,35.0,M,"M/C high speed, struck rear of vehicle in front of him, then struck pole",True,Motorcycle,Auto,No,Pending,,40.03236799214647,-75.08092038518956,26-35
55,49561,2019,3,2019-08-08,Thursday,Christopher Columbus Blvd,22.0,M,Unit #2 operating an illegal dirt-bike was operating on Columbus Blvd. was struck from behind by a DUI.  Dirt-bike operator pronounced dead..,True,Auto,Motorcycle,Yes,"Operator of veh #1 arrested. Charges: Homicide by vehicle, Homicide by vehicle w/DUI, DUI, Involuntary Manslaughter, PIC, REAP",,39.93311569625559,-75.14369630942153,19-25
56,49562,2019,8,2019-08-16,Friday,Knights Rd.,86.0,M,Pedestrian attempting to cross Knights Rd. when struck in the turning Lane. Pedestrian died at hospital days later..,False,Auto,Pedestrian,No,Pending,,40.08471123271226,-74.97367446050926,75+
57,49563,2019,24,2019-08-19,Monday,Aramingo Ave,32.0,M,M/C travelling very high speed struck unit #2  attempting left turn. Operator of M/C pronounced dead.,False,Motorcycle,Auto,No,Administrative TVR's to unit #2,,39.99340900776679,-75.09700901227119,26-35
58,49564,2019,1,2019-08-20,Tuesday,Vare Ave.,29.0,M,"M/C exiting I-76 west, hit pot hole at bottom of ramp at high speed, lost control, struck parked car. Operator of M/C pronounced dead.",False,Motorcycle,Fixed Object,No,No Charges,,39.92818821741496,-75.19588048867448,26-35
59,49565,2019,39,2019-08-31,Saturday,Lehigh Ave.,73.0,M,Pedestrian Crossing Lehigh Ave. n. to s. was struck by veh. W/B. Ped Trans to Temple. Pronounced 9/11/19.,False,Auto,Pedestrian,No,Pending,,39.99477052084494,-75.1610034453633,66-75
60,49566,2019,18,2019-08-31,Saturday,Cobbs Creek Pkwy.,29.0,M,M/C S/B struck rear of auto in front of him that was slowing to turn. Operator of M/C pronounced dead.,False,Motorcycle,Auto,No,Pending,,39.95093007622788,-75.24921510193549,26-35
61,49567,2019,12,2019-09-01,Sunday,Passyunk Ave.,18.0,M,Pedestrian was struck while attempting to cross Passyunk Ave. Pronounced dead at hospital.,False,Auto,Pedestrian,No,Pending,,39.92091219025029,-75.21517185459656,0-18
62,49568,2019,24,2019-09-02,Monday,"""B"" St.",36.0,M,"Pedestrian unconcious in roadway, was struck by auto that went around another car that stopped for him. Pronounced dead at scene.",False,Auto,Pedestrian,No,Pending,,39.996491440255134,-75.12575100691984,36-45
63,49569,2019,39,2019-09-03,Tuesday,Wissahickon Ave.,28.0,M,Veh #2 made left into path of M/C. M/C operator pronounced dead at hospital.,False,Motorcycle,Auto,No,Pending,,40.01812588455087,-75.17296307701847,26-35
64,49570,2019,15,2019-09-04,Wednesday,Levick St.,43.0,M,Bicyclist entered running lane mid-block when struck by oncoming vehicle. Speed of vehicle being investigated.,False,Auto,Bicycle,No,Pending,,40.020450500979706,-75.05086008829761,36-45
65,49571,2019,8,2019-09-07,Saturday,Holme Ave.,39.0,M,"Single veh. Crash W/B on Holme Ave. at high speed, lost control, struck tree, Pronounced at scene.",False,Auto,Fixed Object,No,No Charges,,40.05663641802379,-75.0319172070958,36-45
66,49572,2019,16,2019-09-14,Saturday,Montgomery Dr.,29.0,M,"M/C Travelling too fast to negotiate curve, crossed into oncoming traffic and struck unit #2. Taken to Presby by medics where pronounced next day.",False,Motorcycle,Auto,No,No Charges,,39.985613976938666,-75.2131901789149,26-35
67,49573,2019,7,2019-09-27,Friday,Bustleton Ave.,40.0,M,Veh #2 made left into path of oncoming car that was trravelling at high speed. Operator of veh #1 pronounced dead at scene.,False,Auto,Auto,No,Pending,,40.08448206208202,-75.03840287416908,36-45
68,49574,2019,25,2019-09-29,Sunday,Broad St.,37.0,M,"Unit #1, M/C, N/B on Broad St. Unit#2 S/B on Broad St. attempted left turn to proceed E/B on Tioga St. and into path of M/C. M/C operator died from injuries at Hospital on 10/16/2019.",False,Motorcycle,Auto,No,Pending,,40.00639511234844,-75.15178933341292,36-45
69,49575,2019,15,2019-10-01,Tuesday,State Rd.,63.0,M,Pedestrian was crossing State Rd. mid-block when he was struck while in the running lane by oncoming auto.  Ped pronounced dead at scene.,False,Auto,Pedestrian,No,Pending,,40.030100092381446,-75.0240437160656,56-65
70,49576,2019,25,2019-10-02,Wednesday,N. 2nd St.,64.0,M,Deceased was walking behind vehicle when his son started reversing going over victim.,False,Auto,Pedestrian,No,No Charges,,40.00548404623196,-75.13193985019622,56-65
71,49577,2019,18,2019-10-04,Friday,Chestnut St.,33.0,M,"M/C in left lane, school bus tried left turn from center lane into path of M/C. M/C operator pronounced dead at scene",False,Motorcycle,Bus,No,Pending,,39.95920986622493,-75.23115172209069,26-35
72,49578,2019,6,2019-10-13,Sunday,9th St.,21.0,M,"Single vehicle crash, high speed N/B on 9th St., lost control, struck fire hydrant, then pole. Operator pronounced dead at Hospital short time later.",False,Auto,Fixed Object,No,No Charges,,39.94905395064711,-75.1557166455299,19-25
73,49579,2019,35,2019-10-15,Tuesday,Broad St.,79.0,M,Pedestrian attempted to cross Broad St not at intersection when struck by UNIT #1 HEADING n/b ON Broad St. Pedestrian taken to Einstein Hosp. where pronounced dead.,False,Auto,Pedestrian,No,Pending,,40.02949708038231,-75.14689503870476,75+
74,49580,2019,15,2019-11-02,Saturday,State Rd.,58.0,M,Victim found on Railroad tracks struck by train.,False,Train,Pedestrian,No,No Charges,,40.02200598424084,-75.03988665798487,56-65
75,49581,2019,39,2019-10-18,Friday,Hunting Park Ave.,34.0,F,Unit #1 e/b ON Hunting Park Ave. in the right running lane as 2 pedestrians entered the running lane when struck.. Crash occurred mid-block and not at an intersection. Pedestrian was pronounced deat at Temple Hosp.,False,Auto,Pedestrian,No,No Charges,,40.01698474692228,-75.15153517871336,26-35
76,49582,2019,26,2019-10-26,Saturday,Berks St.,26.0,M,Unit #1 E/B on Berks at high speed struck pedestrian that was crossing Berks St. at Franklin St. then fled scene without stopping. Pedestrian pronounced dead at scene.,True,Auto,Pedestrian,Yes,"Operator was arrested, Charges Murder, Homicide by Vehicle, Involuntary Manslaughter, PIC, REAP, Cruelty to animals",,39.98030424906101,-75.14636962998183,26-35
77,49583,2019,18,2019-11-05,Tuesday,Chestnut St.,19.0,F,"UNIT #2 WAS BUMPED BY UNIT #1, THEN REDIRECTED STRIKING PARKED SCHOOL BUS. Operator of unit #2 pronounced at presby two days later.",False,Auto,Auto,No,No Charges,,39.96030144662674,-75.23961451665755,19-25
