column_name,data_type,description
crash_id,Int64,Unique identifier for each crash record
year,int32,Year the crash occurred.
police_district,category,Police district where the crash occurred (numeric code)
crash_date,datetime64[ns],Date of the crash (YYYY-MM-DD)
day_name,category,Name of the weekday.
primary_street,string,Main street where the crash occurred
age,Float64,Age of the victim (float to handle missing values)
victim_gender,category,Gender of victim.
collision_type,string,Description of collision (free-text)
hit_and_run,bool,Whether the crash was a hit-and-run (1.0=True & 0.0=False)
primary_vehicle,category,Type of primary vehicle.
secondary_vehicle,category,Type of secondary vehicle/object involved.
arrest_made,category,Whether an arrest was made.
investigation_status,string,Status of investigation.
time,object,Time of day (24hr format) as string.
latitude,float64,Latitude coordinate of crash location.
longitude,float64,Longitude coordinate of crash location.
age_group,category,Age bracket of victim.
